#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

5 -1 2 -1 2 5 -1 -2	18723	1
1 -1 3 -1 4 -1 1 -1 -2	5183	1
1 3 -1 1 -1 3 -1 -2	12980	1
4 -1 3 -1 2 5 -1 -2	3477	1
2 5 -1 1 -1 2 -1 -2	15883	1
5 -1 1 -1 3 -1 4 -1 -2	5209	1
1 -1 5 -1 5 -1 5 -1 -2	42980	1
3 -1 4 5 -1 1 -1 -2	5495	1
3 -1 1 -1 1 3 -1 -2	13028	2
1 -1 1 -1 1 3 -1 -2	15681	1
4 -1 1 -1 5 -1 1 -1 -2	11860	1
4 -1 1 -1 2 -1 -2	7929	1
3 -1 4 -1 2 -1 2 -1 -2	2461	1
6 -1 5 -1 5 -1 1 -1 -2	4109	1
2 3 -1 6 -1 2 -1 -2	887	1
6 -1 1 5 -1 2 -1 -2	2401	1
6 -1 1 -1 4 6 -1 -2	821	1
2 3 -1 1 -1 5 -1 -2	6153	1
5 -1 2 5 -1 2 -1 -2	18716	1
6 -1 1 -1 1 -1 1 -1 -2	4158	1
3 -1 3 -1 3 4 -1 -2	3549	1
4 5 -1 5 -1 1 -1 -2	12994	1
1 -1 5 -1 3 -1 2 -1 -2	7130	1
4 -1 6 -1 6 -1 2 -1 -2	619	1
1 -1 5 -1 5 -1 2 -1 -2	18120	1
3 -1 1 -1 4 5 -1 -2	5424	1
4 -1 4 -1 3 -1 5 -1 -2	4308	1
5 -1 5 -1 2 3 -1 -2	6763	1
1 -1 3 -1 1 -1 1 -1 -2	14649	1
6 -1 3 -1 3 -1 -2	1855	1
6 -1 2 -1 5 -1 1 -1 -2	2086	1
4 -1 1 -1 4 -1 5 -1 -2	9509	1
1 3 5 -1 2 -1 -2	7653	1
1 -1 6 -1 2 -1 5 -1 -2	2179	1
2 5 -1 5 -1 6 -1 -2	2407	1
5 -1 1 6 -1 4 -1 -2	1886	1
2 -1 1 5 -1 -2	22467	1
5 -1 3 -1 -2	22905	1
4 -1 2 -1 1 -1 2 -1 -2	5209	1
3 -1 1 -1 1 -1 2 -1 -2	7023	1
4 -1 3 5 -1 1 -1 -2	5583	1
3 5 -1 5 -1 4 -1 -2	5981	1
3 5 -1 3 -1 1 -1 -2	12362	1
1 5 -1 3 -1 5 -1 -2	15645	1
2 4 -1 2 -1 1 -1 -2	5044	1
5 -1 2 -1 2 -1 1 -1 -2	14760	1
2 -1 4 -1 3 -1 3 -1 -2	2391	1
